,gen_spp,species_name,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,tribe,superfamily,na,subclass,wormsid_species,alpha_ID,species_ID
13,Chrosomus erythrogaster,chrosomus erythrogaster,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Laviniinae,Chrosomus,NA,Cyprinoidea,NA,NA,913994,,SP83
14,Clupea harengus,Clupea harengus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Clupeomorpha,Clupeiformes,Clupeoidei,Clupeidae,Clupeinae,Clupea,NA,NA,NA,NA,161722,,SP26
15,Coregonus clupeaformis,Coregonus clupeaformis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Coregoninae,Coregonus,NA,NA,NA,NA,161941,,SP49
16,Coregonus hoyi,Coregonus hoyi,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Coregoninae,Coregonus,NA,NA,NA,NA,623394,,SP64
17,Dicentrarchus labrax,dicentrarchus labrax,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Moronidae,NA,Dicentrarchus,NA,NA,NA,NA,170317,,SP5
18,Eleginops maclovinus,Eleginops maclovinus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Eleginops,NA,NA,NA,NA,642813,,SP40
19,Eleginus gracilis,Eleginus gracilis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Eleginus,NA,NA,NA,NA,164708,,SP57
20,Fundulus heteroclitus,Fundulus heteroclitus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Fundulidae,NA,Fundulus,NA,NA,NA,NA,165647,,SP45
21,Fundulus diaphanus,Fundulus diaphanus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Fundulidae,NA,Fundulus,NA,NA,NA,NA,165646,,SP70
22,Fundulus heteroclitus,fundulus heteroclitus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Fundulidae,NA,Fundulus,NA,NA,NA,NA,165647,,SP76
23,Gadus morhua,gadus morhua,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Gadus,NA,NA,NA,NA,164712,,SP9
24,Gadus macrocephalus,Gadus macrocephalus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Gadus,NA,NA,NA,NA,164711,,SP58
25,Gadus chalcogrammus,Gadus chalcogrammus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Gadus,NA,NA,NA,NA,934083,,SP59
26,Gambusia holbrooki,Gambusia holbrooki,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,NA,Poeciliidae,Poeciliinae,Gambusia,NA,NA,NA,NA,165896,,SP19
27,Garra rufa,Garra rufa,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Garra,NA,Cyprinoidea,NA,NA,689117,,SP71
28,Geophagus brasiliensis,geophagus brasiliensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Geophagus,NA,NA,NA,NA,169915,,SP30
29,Gymnocephalus cernuus,Gymnocephalus cernuus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percidae,NA,Gymnocephalus,NA,NA,NA,NA,168520,,SP63
30,Harpagifer antarcticus,Harpagifer antarcticus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Harpagiferidae,Harpagiferinae,Harpagifer,NA,NA,NA,NA,642860,,SP67
31,Hippoglossus hippoglossus,hippoglossus hippoglossus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Pleuronectidae,Hippoglossinae,Hippoglossus,NA,NA,NA,NA,172933,,SP38
32,Ictiobus bubalus,ictiobus bubalus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Catostomidae,Ictiobinae,Ictiobus,NA,Cobitoidea,NA,NA,163955,,SP8
33,Lepidomeda copei,Lepidomeda copei,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Plagopterinae,Lepidomeda,NA,Cyprinoidea,NA,NA,913987,,SP77
34,Lepidopsetta polyxystra,Lepidopsetta polyxystra,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Pleuronectidae,Pleuronectinae,Lepidopsetta,Microstomini,NA,NA,NA,616392,,SP86
35,Lepomis macrochirus,Lepomis macrochirus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Centrarchidae,NA,Lepomis,NA,NA,NA,NA,168141,,SP42
36,Lota lota,Lota lota,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Lotinae,Lota,NA,NA,NA,NA,164725,,SP60
37,Lutjanus griseus,Lutjanus griseus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Lutjanidae,Lutjaninae,Lutjanus,NA,NA,NA,NA,168848,,SP82
38,Lutjanus apodus,Lutjanus apodus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Lutjanidae,Lutjaninae,Lutjanus,NA,NA,NA,NA,168850,,SP85
39,Micropterus dolomieu,micropterus dolomieu,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Centrarchidae,NA,Micropterus,NA,NA,NA,NA,550562,,SP44
40,Myoxocephalus scorpius,Myoxocephalus scorpius,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Scorpaeniformes,Cottoidei,Cottidae,NA,Myoxocephalus,NA,Cottoidea,NA,NA,167318,,SP80
41,Oncorhynchus nerka,Oncorhynchus nerka,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Oncorhynchus,NA,NA,NA,NA,161979,,SP21
42,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Oncorhynchus,NA,NA,NA,NA,161980,,SP39
43,Oncorhynchus clarkii,Oncorhynchus clarkii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Oncorhynchus,NA,NA,NA,NA,161983,,SP53
44,Oncorhynchus clarkii,Oncorhynchus clarkii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Oncorhynchus,NA,NA,NA,NA,161983,,SP79
45,Onychostoma barbatulum,Onychostoma barbatulum,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,NA,Cypriniformes,NA,Cyprinidae,NA,Onychostoma,NA,NA,NA,NA,NA,,SP22
46,Pagothenia borchgrevinki,Pagothenia borchgrevinki,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Pagothenia,NA,NA,NA,NA,642902,,SP90
47,Paralichthys dentatus,Paralichthys dentatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Paralichthyidae,NA,Paralichthys,NA,NA,NA,NA,172735,,SP89
48,Parophrys vetulus,Parophrys vetulus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Pleuronectidae,Pleuronectinae,Parophrys,Pleuronectini,NA,NA,NA,172921,,SP88
49,Perca fluviatilis,perca fluviatilis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percidae,NA,Perca,NA,NA,NA,NA,168470,,SP12
50,Petromyzon marinus,Petromyzon marinus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Agnatha,NA,Cephalaspidomorphi,NA,Petromyzontiformes,NA,Petromyzontidae,NA,Petromyzon,NA,NA,NA,NA,159722,,SP78
51,Plectropomus leopardus,plectropomus leopardus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Serranidae,Epinephelinae,Plectropomus,Epinephelini,NA,NA,NA,167933,,SP32
52,Pomadasys commersonnii,Pomadasys commersonnii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Haemulidae,NA,Pomadasys,NA,NA,NA,NA,630243,,SP65
53,Rutilus rutilus,rutilus rutilus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Leuciscinae,Rutilus,NA,Cyprinoidea,NA,NA,163761,,SP13
54,Salmo trutta,salmo trutta,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salmo,NA,NA,NA,NA,161997,,SP25
55,Salmo salar,salmo salar,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salmo,NA,NA,NA,NA,161996,,SP35
56,Salvelinus namaycush,Salvelinus namaycush,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salvelinus,NA,NA,NA,NA,162002,,SP62
57,Salvelinus alpinus,Salvelinus alpinus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salvelinus,NA,NA,NA,NA,162001,,SP55
58,Sardinops sagax,Sardinops sagax,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Clupeomorpha,Clupeiformes,Clupeoidei,Clupeidae,Clupeinae,Sardinops,NA,NA,NA,NA,161729,,SP20
59,Schizothorax prenanti,Schizothorax prenanti,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Schizothorax,NA,Cyprinoidea,NA,NA,690079,,SP47
60,Siganus rivulatus,Siganus rivulatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Acanthuroidei,Siganidae,NA,Siganus,NA,NA,NA,NA,172346,,SP72
61,Siniperca knerii,Siniperca knerii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percichthyidae,NA,Siniperca,NA,NA,NA,NA,641921,,SP10
62,Spinibarbus sinensis,Spinibarbus sinensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Spinibarbus,NA,NA,NA,NA,NA,1020560,SP48
63,Sprattus sprattus,sprattus sprattus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Clupeomorpha,Clupeiformes,Clupeoidei,Clupeidae,Clupeinae,Sprattus,NA,NA,NA,NA,161789,,SP7
64,Taurulus bubalis,Taurulus bubalis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Scorpaeniformes,Cottoidei,Cottidae,NA,Taurulus,NA,Cottoidea,NA,NA,167390,,SP81
65,Tautogolabrus adspersus,tautogolabrus adspersus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Labridae,NA,Tautogolabrus,NA,NA,NA,NA,170481,,SP27
66,Trachurus japonicus,Trachurus japonicus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Carangidae,Caranginae,Trachurus,NA,NA,NA,NA,642012,,SP43
67,Anarhichas lupus,Anarhichas lupus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Zoarcoidei,Anarhichadidae,NA,Anarhichas,NA,NA,NA,NA,171341,,SP94
68,Prosopium williamsoni,Prosopium williamsoni,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Coregoninae,Prosopium,NA,NA,NA,NA,162009,,SP95
69,Gadopsis marmoratus,Gadopsis marmoratus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percichthyidae,NA,Gadopsis,NA,NA,NA,NA,170221,,SP96
70,Gadopsis bispinosus,Gadopsis bispinosus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percichthyidae,NA,Gadopsis,NA,NA,NA,NA,641887,,SP97
71,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Oncorhynchus,NA,NA,NA,NA,161975,,SP98
72,Barbus barbus,Barbus barbus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Barbus,NA,Cyprinoidea,NA,NA,163619,,SP99
73,Ictalurus furcatus,Ictalurus furcatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Siluriformes,NA,Ictaluridae,NA,Ictalurus,NA,NA,NA,NA,163997,,SP101
74,Gasterosteus aculeatus,Gasterosteus aculeatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Gasterosteiformes,Gasterosteoidei,Gasterosteidae,NA,Gasterosteus,NA,NA,NA,NA,166365,,SP102
75,Channa striata,Channa striata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Channoidei,Channidae,NA,Channa,NA,NA,NA,NA,166667,,SP103
76,Cyprinus carpio,Cyprinus carpio,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Cyprinus,NA,Cyprinoidea,NA,NA,163344,,SP104
77,Centropristis striata,Centropristis striata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Serranidae,Serraninae,Centropristis,NA,NA,NA,NA,167687,,SP105
78,Oreochromis mossambicus,Oreochromis mossambicus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Oreochromis,NA,NA,NA,NA,170015,,SP106
79,Chelon labrosus,Chelon labrosus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Mugiliformes,NA,Mugilidae,NA,Chelon,NA,NA,NA,NA,170371,,SP107
80,Trematomus bernacchii,Trematomus bernacchii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Trematomus,NA,NA,NA,NA,643036,,SP108
81,Trematomus pennellii,Trematomus pennellii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Trematomus,NA,NA,NA,NA,643043,,SP109
82,Lophius litulon,Lophius litulon,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Lophiiformes,Lophioidei,Lophiidae,NA,Lophius,NA,NA,NA,NA,690538,,SP110
83,Dascyllus melanurus,Dascyllus melanurus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Dascyllus,NA,NA,NA,NA,170127,,SP111
84,Chromis atripectoralis,Chromis atripectoralis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Chromis,NA,NA,NA,NA,170103,,SP112
85,Pomacentrus moluccensis,Pomacentrus moluccensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Pomacentrus,NA,NA,NA,NA,615461,,SP113
86,Zoramia leptacanthus,Zoramia leptacanthus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,NA,Apogoniformes,NA,Apogonidae,NA,Zoramia,NA,NA,NA,NA,NA,713323,SP114
87,Cheilodipterus quinquelineatus,Cheilodipterus quinquelineatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,NA,Apogoniformes,NA,Apogonidae,Apogoninae,Cheilodipterus,NA,NA,NA,NA,168291,209371,SP115
88,Abramis brama,Abramis brama,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Leuciscinae,Abramis,NA,Cyprinoidea,NA,NA,163666,,SP116
89,Oreochromis esculentus,Oreochromis esculentus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Oreochromis,NA,NA,NA,NA,648840,,SP117
90,Catostomus commersonii,Catostomus commersonii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Catostomidae,Catostominae,Catostomus,Catostomini,Cobitoidea,NA,NA,553273,,SP118
91,Salvelinus malma,Salvelinus malma,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salvelinus,NA,NA,NA,NA,162000,,SP119
92,Poecilia reticulata,Poecilia reticulata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Poeciliidae,Poeciliinae,Poecilia,NA,NA,NA,NA,165903,,SP120
93,Gymnodraco acuticeps,Gymnodraco acuticeps,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Bathydraconidae,NA,Gymnodraco,NA,NA,NA,NA,642589,,SP121
94,Lates niloticus,Lates niloticus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Centropomidae,Latinae,Lates,NA,NA,NA,NA,167670,,SP122
95,Dentex dentex,Dentex dentex,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Sparidae,NA,Dentex,NA,NA,NA,NA,169224,,SP123
96,Zoarces viviparus,Zoarces viviparus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Zoarcoidei,Zoarcidae,NA,Zoarces,NA,NA,NA,NA,165324,,SP124
97,Sarpa salpa,Sarpa salpa,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Sparidae,NA,Sarpa,NA,NA,NA,NA,182942,,SP125
98,Sander vitreus,Sander vitreus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percidae,NA,Sander,NA,NA,NA,NA,650173,,SP126
99,Triakis semifasciata,Triakis semifasciata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Chondrichthyes,Euselachii,Carcharhiniformes,NA,Triakidae,NA,Triakis,NA,NA,NA,Elasmobranchii,160448,,SP127
