curve_ID,response_type,new name,response_type_group,treatment_1_type,treatment_1_group,treatment_2_type,treatment_2_group,experiment_design_notes
310,resting-heart-rate,resting-heart-rate,cardiac,resting or swimming,resting,NA,NA,NA
306,active-heart-rate,active-heart-rate,cardiac,resting or swimming,swimming,NA,NA,NA
341,maximum-heart-rate,maximum-heart-rate,cardiac,NA,NA,NA,NA,"Fish were anesthetized, weighed, and placed in a well-aerated bath with their gills continuously irrigated. ECG electrodes were placed on the heart to record heart rate. Heart rate was stimulated with injections of atropine and isoproterenol and allowed to stabilize for ~20 minutes. Water temperature was gradually increased or decreased in steps until the fish showed heart rhythm problems or the bath started to freeze. the maximum heart rate and its temperature, and the temperature where the heart became arrhythmic. Heart rate data were analyzed using segmented regression to find points where heart function was affected by temperature."
454,heart-rate,resting-heart-rate,cardiac,NA,NA,NA,NA,NA
18,conversion-efficiency,conversion-efficiency,feeding,Size,large,NA,NA,NA
19,conversion-efficiency,conversion-efficiency,feeding,Size,small,NA,NA,NA
24,prey-capture-rate,prey-capture-rate,feeding,Ration,0.1,Size,large,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
31,absorption-efficiency,absorption-efficiency,feeding,Salinity,23,NA,NA,NA
32,absorption-efficiency,absorption-efficiency,feeding,Salinity,28,NA,NA,NA
33,absorption-efficiency,absorption-efficiency,feeding,Salinity,33,NA,NA,NA
34,absorption-rate,absorption-rate,feeding,Salinity,23,NA,NA,NA
35,prey-capture-rate,prey-capture-rate,feeding,Ration,0.3,Size,large,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
36,absorption-rate,absorption-rate,feeding,Salinity,28,NA,NA,NA
37,absorption-rate,absorption-rate,feeding,Salinity,33,NA,NA,NA
38,ingestion-rate,consumption-rate,feeding,Salinity,23,NA,NA,NA
39,ingestion-rate,consumption-rate,feeding,Salinity,28,NA,NA,NA
40,ingestion-rate,consumption-rate,feeding,Salinity,33,NA,NA,NA
46,prey-capture-rate,prey-capture-rate,feeding,Ration,0.5,Size,large,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
53,food-consumption-rate,consumption-rate,feeding,NA,NA,NA,NA,NA
57,prey-capture-rate,prey-capture-rate,feeding,Ration,1,Size,large,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
58,consumption-rate,consumption-rate,feeding,NA,NA,NA,NA,NA
68,prey-capture-rate,prey-capture-rate,feeding,Ration,2,Size,large,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
79,prey-capture-rate,prey-capture-rate,feeding,Ration,3,Size,large,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
101,prey-capture-rate,prey-capture-rate,feeding,Ration,0.1,Size,small,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
106,feeding-efficiency,conversion-efficiency,feeding,NA,NA,NA,NA,NA
112,prey-capture-rate,prey-capture-rate,feeding,Ration,0.3,Size,small,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
116,food-conversion-efficiency,conversion-efficiency,feeding,Ration,12,NA,NA,"gross food conversion efficiency was calculated.as the increase in dry weight of the fish divided by the dry weight of the food fed over the whole experimental period. In the calculation of food conversion efficiency, food fed was considered to be eaten whether or not it was actually consumed. The quantity of uneaten food rarely amounted to more than 1% of that fed, except at 21°C. Conversion efficiencies at 21°C were not determined, however, as growth was negative in those treatments."
117,food-conversion-efficiency,conversion-efficiency,feeding,Ration,16,NA,NA,"gross food conversion efficiency was calculated.as the increase in dry weight of the fish divided by the dry weight of the food fed over the whole experimental period. In the calculation of food conversion efficiency, food fed was considered to be eaten whether or not it was actually consumed. The quantity of uneaten food rarely amounted to more than 1% of that fed, except at 21°C. Conversion efficiencies at 21°C were not determined, however, as growth was negative in those treatments."
119,food-conversion-efficiency,conversion-efficiency,feeding,Ration,8,NA,NA,"gross food conversion efficiency was calculated.as the increase in dry weight of the fish divided by the dry weight of the food fed over the whole experimental period. In the calculation of food conversion efficiency, food fed was considered to be eaten whether or not it was actually consumed. The quantity of uneaten food rarely amounted to more than 1% of that fed, except at 21°C. Conversion efficiencies at 21°C were not determined, however, as growth was negative in those treatments."
123,prey-capture-rate,prey-capture-rate,feeding,Ration,0.5,Size,small,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
132,feeding-rate,consumption-rate,feeding,NA,NA,NA,NA,"3 different salimity treatments, but no significant effect of salinity. reported mean is mean from equal no. of fish sampled across all salinity treatments"
134,prey-capture-rate,prey-capture-rate,feeding,Ration,1,Size,small,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
145,prey-capture-rate,prey-capture-rate,feeding,Ration,2,Size,small,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
156,prey-capture-rate,prey-capture-rate,feeding,Ration,3,Size,small,"Fish were acclimatized for 3 weeks in the laboratory before experiments started. There were six aquariums with 5 roach each and six aquariums with 2 perch. Treatment temperatures were 12, 15, 18, and 21°C (+/- 0.1). Prey densities  were 0.1, 0.3, 0.5, 1.0, 2.0, and 3.0 prey/L. The pret used was phantom midge (Chaoborus obscuripes). All experiments were carried out with hungry fish to standardize hunger levels. Before an experiment started the fish were confined to a smaller section of the aquarium by a partition. Then the prey was introduced and the experiment was initiated by removing the partitioning and allowing the fish to feed. To avoid satiation effects the experiment was terminated when no more than ten prey had been captured. Data recorded during the experiments were the swimming speed of the fish during feeding, number of attacks and number of successful captures during the experimental time. Only one fish in one aquarium was observed in each experiment rendering six replicates for each species per experiment (number of aquariums = 12). The test fish were re-used at different prey densities within temperatures but were changed between temperatures."
159,capture-manuever-time,capture-manuever-time,feeding,NA,NA,NA,NA,NA
160,prey-capture-probability,prey-capture-probability,feeding,NA,NA,NA,NA,NA
176,absorption-efficiency,absorption-efficiency,feeding,NA,NA,NA,NA,"Individual fish were fed on a diet of fresh pieces of chopped goat liver once a day for 2 h at 0900 h and 1100 h, ad libitum. Before the commencement of the experiment, the starved, live fish were weighed individually and introduced into the medium. To calculate the initial dry weight of the fish of each species, ten well acclimated fish of same weight group were individually weighed and dried in a hot air oven at 90°C for a period of 24 h to constant weight. To calculate the initial dry weight of the food, goat liver pieces were weighed in a wet condition and dried in a hot air oven at 90°C for 24 h. The feeding trial experiment was conducted for a period of 30 days. In all the experiments, the medium was changed daily. At the time of renewal, the faeces were siphoned out using a rubber tube, fixed in the aquarium with the least disturbance to the fish, and collected separately. They were dried to constant weight and the same procedures were adopted during the experimental periods. "
177,absorption-rate,absorption-rate,feeding,NA,NA,NA,NA,"Individual fish were fed on a diet of fresh pieces of chopped goat liver once a day for 2 h at 0900 h and 1100 h, ad libitum. Before the commencement of the experiment, the starved, live fish were weighed individually and introduced into the medium. To calculate the initial dry weight of the fish of each species, ten well acclimated fish of same weight group were individually weighed and dried in a hot air oven at 90°C for a period of 24 h to constant weight. To calculate the initial dry weight of the food, goat liver pieces were weighed in a wet condition and dried in a hot air oven at 90°C for 24 h. The feeding trial experiment was conducted for a period of 30 days. In all the experiments, the medium was changed daily. At the time of renewal, the faeces were siphoned out using a rubber tube, fixed in the aquarium with the least disturbance to the fish, and collected separately. They were dried to constant weight and the same procedures were adopted during the experimental periods. "
179,feeding-rate,consumption-rate,feeding,NA,NA,NA,NA,"Individual fish were fed on a diet of fresh pieces of chopped goat liver once a day for 2 h at 0900 h and 1100 h, ad libitum. Before the commencement of the experiment, the starved, live fish were weighed individually and introduced into the medium. To calculate the initial dry weight of the fish of each species, ten well acclimated fish of same weight group were individually weighed and dried in a hot air oven at 90°C for a period of 24 h to constant weight. To calculate the initial dry weight of the food, goat liver pieces were weighed in a wet condition and dried in a hot air oven at 90°C for 24 h. The feeding trial experiment was conducted for a period of 30 days. In all the experiments, the medium was changed daily. At the time of renewal, the faeces were siphoned out using a rubber tube, fixed in the aquarium with the least disturbance to the fish, and collected separately. They were dried to constant weight and the same procedures were adopted during the experimental periods. "
180,gross-conversion-efficiency,conversion-efficiency,feeding,NA,NA,NA,NA,"Individual fish were fed on a diet of fresh pieces of chopped goat liver once a day for 2 h at 0900 h and 1100 h, ad libitum. Before the commencement of the experiment, the starved, live fish were weighed individually and introduced into the medium. To calculate the initial dry weight of the fish of each species, ten well acclimated fish of same weight group were individually weighed and dried in a hot air oven at 90°C for a period of 24 h to constant weight. To calculate the initial dry weight of the food, goat liver pieces were weighed in a wet condition and dried in a hot air oven at 90°C for 24 h. The feeding trial experiment was conducted for a period of 30 days. In all the experiments, the medium was changed daily. At the time of renewal, the faeces were siphoned out using a rubber tube, fixed in the aquarium with the least disturbance to the fish, and collected separately. They were dried to constant weight and the same procedures were adopted during the experimental periods. The percentage of food energy converted into fish tissues in relation to the food consumed was the gross conversion efficiency (K1) "
183,net-conversion-efficiency,net-conversion-efficiency,feeding,NA,NA,NA,NA,"Individual fish were fed on a diet of fresh pieces of chopped goat liver once a day for 2 h at 0900 h and 1100 h, ad libitum. Before the commencement of the experiment, the starved, live fish were weighed individually and introduced into the medium. To calculate the initial dry weight of the fish of each species, ten well acclimated fish of same weight group were individually weighed and dried in a hot air oven at 90°C for a period of 24 h to constant weight. To calculate the initial dry weight of the food, goat liver pieces were weighed in a wet condition and dried in a hot air oven at 90°C for 24 h. The feeding trial experiment was conducted for a period of 30 days. In all the experiments, the medium was changed daily. At the time of renewal, the faeces were siphoned out using a rubber tube, fixed in the aquarium with the least disturbance to the fish, and collected separately. They were dried to constant weight and the same procedures were adopted during the experimental periods. The percentage of food energy converted into fish tissues in relation to the food energy absorbed was the net conversion efficiency"
184,absorption-efficiency,absorption-efficiency,feeding,NA,NA,NA,NA,"Individual fish were fed on a diet of fresh pieces of chopped goat liver once a day for 2 h at 0900 h and 1100 h, ad libitum. Before the commencement of the experiment, the starved, live fish were weighed individually and introduced into the medium. To calculate the initial dry weight of the fish of each species, ten well acclimated fish of same weight group were individually weighed and dried in a hot air oven at 90°C for a period of 24 h to constant weight. To calculate the initial dry weight of the food, goat liver pieces were weighed in a wet condition and dried in a hot air oven at 90°C for 24 h. The feeding trial experiment was conducted for a period of 30 days. In all the experiments, the medium was changed daily. At the time of renewal, the faeces were siphoned out using a rubber tube, fixed in the aquarium with the least disturbance to the fish, and collected separately. They were dried to constant weight and the same procedures were adopted during the experimental periods. "
185,absorption-rate,absorption-rate,feeding,NA,NA,NA,NA,"Individual fish were fed on a diet of fresh pieces of chopped goat liver once a day for 2 h at 0900 h and 1100 h, ad libitum. Before the commencement of the experiment, the starved, live fish were weighed individually and introduced into the medium. To calculate the initial dry weight of the fish of each species, ten well acclimated fish of same weight group were individually weighed and dried in a hot air oven at 90°C for a period of 24 h to constant weight. To calculate the initial dry weight of the food, goat liver pieces were weighed in a wet condition and dried in a hot air oven at 90°C for 24 h. The feeding trial experiment was conducted for a period of 30 days. In all the experiments, the medium was changed daily. At the time of renewal, the faeces were siphoned out using a rubber tube, fixed in the aquarium with the least disturbance to the fish, and collected separately. They were dried to constant weight and the same procedures were adopted during the experimental periods. "
186,energy-based-growth-rate,energy-based-growth-rate,somatic growth,NA,NA,NA,NA,"Individual fish were fed on a diet of fresh pieces of chopped goat liver once a day for 2 h at 0900 h and 1100 h, ad libitum. Before the commencement of the experiment, the starved, live fish were weighed individually and introduced into the medium. To calculate the initial dry weight of the fish of each species, ten well acclimated fish of same weight group were individually weighed and dried in a hot air oven at 90°C for a period of 24 h to constant weight. To calculate the initial dry weight of the food, goat liver pieces were weighed in a wet condition and dried in a hot air oven at 90°C for 24 h. The feeding trial experiment was conducted for a period of 30 days. In all the experiments, the medium was changed daily. At the time of renewal, the faeces were siphoned out using a rubber tube, fixed in the aquarium with the least disturbance to the fish, and collected separately. They were dried to constant weight and the same procedures were adopted during the experimental periods. "
187,feeding-rate,consumption-rate,feeding,NA,NA,NA,NA,"Individual fish were fed on a diet of fresh pieces of chopped goat liver once a day for 2 h at 0900 h and 1100 h, ad libitum. Before the commencement of the experiment, the starved, live fish were weighed individually and introduced into the medium. To calculate the initial dry weight of the fish of each species, ten well acclimated fish of same weight group were individually weighed and dried in a hot air oven at 90°C for a period of 24 h to constant weight. To calculate the initial dry weight of the food, goat liver pieces were weighed in a wet condition and dried in a hot air oven at 90°C for 24 h. The feeding trial experiment was conducted for a period of 30 days. In all the experiments, the medium was changed daily. At the time of renewal, the faeces were siphoned out using a rubber tube, fixed in the aquarium with the least disturbance to the fish, and collected separately. They were dried to constant weight and the same procedures were adopted during the experimental periods. The percentage of food energy converted into fish tissues in relation to the food consumed was the gross conversion efficiency (K1) "
191,net-conversion-efficiency,net-conversion-efficiency,feeding,NA,NA,NA,NA,"Individual fish were fed on a diet of fresh pieces of chopped goat liver once a day for 2 h at 0900 h and 1100 h, ad libitum. Before the commencement of the experiment, the starved, live fish were weighed individually and introduced into the medium. To calculate the initial dry weight of the fish of each species, ten well acclimated fish of same weight group were individually weighed and dried in a hot air oven at 90°C for a period of 24 h to constant weight. To calculate the initial dry weight of the food, goat liver pieces were weighed in a wet condition and dried in a hot air oven at 90°C for 24 h. The feeding trial experiment was conducted for a period of 30 days. In all the experiments, the medium was changed daily. At the time of renewal, the faeces were siphoned out using a rubber tube, fixed in the aquarium with the least disturbance to the fish, and collected separately. They were dried to constant weight and the same procedures were adopted during the experimental periods. The percentage of food energy converted into fish tissues in relation to the food energy absorbed was the net conversion efficiency"
203,daily-food-consumption,prey-consumption,feeding,Ration,neomysis,NA,NA,"All fish used in the experiment had been fed live Neomysis during the acclimation period and, in combination with pelleted food, during 2 weeks before whilst in the holding tank. Six charr were studied at each experimental temperature (Table I). During the experimental period, the fish were fed live Neomysis four times a day (at 0900, 1300, 1800, and 2300 hours). At feeding, it was checked that at least 20% of the shrimps were left from the previous feeding. Thus, the fish had always access to food. All Neomysis that were offered to the fish were counted and every morning uneaten shrimps were removed and counted"
204,daily-food-consumption,prey-consumption,feeding,Ration,pellets,NA,NA,"The fish were fed commercial pelleted food, distributed individually to each fish every third hour by a small automatic feeder (Petmate 14). A similar amount of food was distributed at each delivery, which had a duration of c. 1 h during which pellets fell into the tanks. The energy content of the pellets was 20·0 MJ kg"" 1. Initially, 48 charr were acclimated to the aquaria, but 11 fish that did not start to feed were removed and excluded from the experiment. Pellets were counted and put into the feeders every morning after uneaten pellets (at least 20% of the ration) and faeces had been removed by suction. All uneaten pellets were counted."
240,handling-time,handling-time,feeding,NA,NA,NA,NA,"Each trial began with fish enclosed behind a partition until prey were added, then the partition was removed. Trials were terminated after 5–10 prey were captured to avoid satiation and prey depletion. Capture events were recorded to estimate handling time (h) using a Holling type II functional response model."
243,handling-time,handling-time,feeding,NA,NA,NA,NA,"Each trial began with fish enclosed behind a partition until prey were added, then the partition was removed. Trials were terminated after 5–10 prey were captured to avoid satiation and prey depletion. Capture events were recorded to estimate handling time (h) using a Holling type II functional response model."
245,prey-consumption,prey-consumption,feeding,NA,NA,NA,NA,"Sixty G. brasiliensis (n = 4 per experimental unit) were randomly allocated to the experimental treatments from an initial temperature of 20°C. **Each treatment was done in 3 replicates (so sample size for each temperature = 3 x 4 = 12). The fish were starved for 24 hours before receiving snails as prey (these snails {P. canaliculata} were collected from localities with rice paddies). Individual heaters coupled to thermostats increased the water temperature in each experimental unit gradually (1°C/h). Soon after the temperature stabilized, juvenile snails were selected based on their size and distributed (32 per tank). After 18 h of exposure of the snails to predation by the pearl cichlids, all the water in the tanks were passed through a sieve to count the remaining snails. The # of consumed snails and the rate of predation were calculated."
254,prey-consumption,prey-consumption,feeding,NA,NA,NA,NA,Each species had 10–14 replicates per treatment. Individual fish were placed in 10-gallon tanks and acclimated for 24 hours before testing. Each fish was given 225 chironomid larvae (~1.6 g). Feeding trials lasted 2 hours. The number of prey consumed was measured from the remaining larvae.
255,consumption-rate,consumption-rate,feeding,NA,NA,NA,NA,"Nine krill were frozen onto a small tile and placed in the tank. Once the krill thawed, fish were given access by removing a divider. Researchers then counted how many krill the fish ate in 10 minutes and calculated consumption as a percentage of available prey."
270,daily-specific-feeding-rate,consumption-rate,feeding,Salinity,15,NA,NA,"They starved fish → fed them to satiation for 12 days under different temperature × salinity treatments → measured how much they ate, how much they grew in weight and length, and how efficiently they converted food into growth."
271,daily-specific-feeding-rate,consumption-rate,feeding,Salinity,25,NA,NA,"They starved fish → fed them to satiation for 12 days under different temperature × salinity treatments → measured how much they ate, how much they grew in weight and length, and how efficiently they converted food into growth."
272,daily-specific-feeding-rate,consumption-rate,feeding,Salinity,35,NA,NA,"They starved fish → fed them to satiation for 12 days under different temperature × salinity treatments → measured how much they ate, how much they grew in weight and length, and how efficiently they converted food into growth."
273,daily-specific-feeding-rate,consumption-rate,feeding,Salinity,45,NA,NA,"They starved fish → fed them to satiation for 12 days under different temperature × salinity treatments → measured how much they ate, how much they grew in weight and length, and how efficiently they converted food into growth."
274,daily-specific-feeding-rate,consumption-rate,feeding,Salinity,5,NA,NA,"They starved fish → fed them to satiation for 12 days under different temperature × salinity treatments → measured how much they ate, how much they grew in weight and length, and how efficiently they converted food into growth."
313,consumption-rate,consumption-rate,feeding,Size,large,NA,NA,NA
314,consumption-rate,consumption-rate,feeding,Size,medium,NA,NA,NA
315,consumption-rate,consumption-rate,feeding,Size,small,NA,NA,NA
